Match Number,Home,Home Score,Away Score,Away,Joker
1,Mexico,,,South Africa,
2,Korea Republic,,,Czechia,
3,Canada,,,Bosnia,
4,USA,,,Paraguay,
8,Qatar,,,Switzerland,
7,Brazil,,,Morocco,
5,Haiti,,,Scotland,
6,Australia,,,Türkiye,
10,Germany,,,Curaçao,
11,Netherlands,,,Japan,
9,Côte d'Ivoire,,,Ecuador,
12,Sweden,,,Tunisia,
14,Spain,,,Cabo Verde,
16,Belgium,,,Egypt,
13,Saudi Arabia,,,Uruguay,
15,IR Iran,,,New Zealand,
17,France,,,Senegal,
18,Iraq,,,Norway,
19,Argentina,,,Algeria,
20,Austria,,,Jordan,
23,Portugal,,,Congo DR,
22,England,,,Croatia,
21,Ghana,,,Panama,
24,Uzbekistan,,,Colombia,
25,Czechia,,,South Africa,
26,Switzerland,,,Bosnia,
27,Canada,,,Qatar,
28,Mexico,,,Korea Republic,
32,USA,,,Australia,
30,Scotland,,,Morocco,
29,Brazil,,,Haiti,
31,Türkiye,,,Paraguay,
35,Netherlands,,,Sweden,
33,Germany,,,Côte d'Ivoire,
34,Ecuador,,,Curaçao,
36,Tunisia,,,Japan,
38,Spain,,,Saudi Arabia,
39,Belgium,,,IR Iran,
37,Uruguay,,,Cabo Verde,
40,New Zealand,,,Egypt,
43,Argentina,,,Austria,
42,France,,,Iraq,
41,Norway,,,Senegal,
44,Jordan,,,Algeria,
47,Portugal,,,Uzbekistan,
45,England,,,Ghana,
46,Panama,,,Croatia,
48,Colombia,,,Congo DR,
51,Switzerland,,,Canada,
52,Bosnia,,,Qatar,
49,Scotland,,,Brazil,
50,Morocco,,,Haiti,
53,Czechia,,,Mexico,
54,South Africa,,,Korea Republic,
55,Curaçao,,,Côte d'Ivoire,
56,Ecuador,,,Germany,
57,Japan,,,Sweden,
58,Tunisia,,,Netherlands,
59,Türkiye,,,USA,
60,Paraguay,,,Australia,
61,Norway,,,France,
62,Senegal,,,Iraq,
65,Cabo Verde,,,Saudi Arabia,
66,Uruguay,,,Spain,
63,Egypt,,,IR Iran,
64,New Zealand,,,Belgium,
67,Panama,,,England,
68,Croatia,,,Ghana,
71,Colombia,,,Portugal,
72,Congo DR,,,Uzbekistan,
69,Algeria,,,Austria,
70,Jordan,,,Argentina,
73,2A,,,2B,
76,1C,,,2F,
74,1E,,,3ABCDF,
75,1F,,,2C,
78,2E,,,2I,
77,1I,,,3CDFGH,
79,1A,,,3CEFHI,
80,1L,,,3EHIJK,
82,1G,,,3AEHIJ,
81,1D,,,3BEFIJ,
84,1H,,,2J,
83,2K,,,2L,
85,1B,,,3EFGIJ,
88,2D,,,2G,
86,1J,,,2H,
87,1K,,,3DEIJL,
90,TBD,,,TBD,
89,TBD,,,TBD,
91,TBD,,,TBD,
92,TBD,,,TBD,
93,TBD,,,TBD,
94,TBD,,,TBD,
95,TBD,,,TBD,
96,TBD,,,TBD,
97,TBD,,,TBD,
98,TBD,,,TBD,
99,TBD,,,TBD,
100,TBD,,,TBD,
101,TBD,,,TBD,
102,TBD,,,TBD,
103,TBD,,,TBD,
104,TBD,,,TBD,
,,,,,